Site,Contribution 2023 (%),Nombre de publications 2023 en IA
Institut polytechnique de Paris,9.99,1785
Université Paris-Saclay,7.75,1385
Alliance Sorbonne Université,6.46,1155
ComUE Lyon Saint-Étienne,5.69,1016
Université de Toulouse,5.43,971
Université Grenoble Alpes,5.17,924
Strasbourg/Lorraine et associés,4.73,845
Université Paris sciences et lettres,4.45,795
Université Paris Cité,4.16,744
Convention de coordination en Nouvelle-Aquitaine,4.02,718
Site Aix-Marseille-Provence-Méditerranée,3.37,602
Université de Lille,3.15,563
Paris-Est Sup,2.97,531
Alliance Languedoc-Roussillon Universités,2.9,519
Université de Rennes,2.51,449
Normandie Université,2.35,421
Université Bourgogne - Franche-Comté,2.17,388
Nantes Université,1.97,352
AUB - Alliance universitaire de Bretagne,1.69,303
Université Côte d'Azur,1.61,288
